ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
1258535702,CNZFpk2ggEIYdm3eSi,192.168.1.102,1192,87.106.12.77,80,tcp,http,0.514927,1222,367,SF,T,T,0,ShADadfF,6,1470,6,615,-
1258535702,CzO2vy4VIoPkDQfo0g,192.168.1.102,1193,87.106.13.61,80,tcp,-,3.061084,0,0,S0,T,T,0,S,2,96,0,0,-
1258535650,CwIkk322hCqNAdI0Oi,192.168.1.104,68,255.255.255.255,67,udp,dhcp,-,-,-,S0,T,T,0,D,1,328,0,0,-
1258535610,C561Fc1oNxCDtHiaG6,192.168.1.104,68,192.168.1.1,67,udp,dhcp,40.891774,311,600,SF,T,T,0,Dd,1,339,2,656,-
1258535707,CgECLq45ZxQClaVab2,192.168.1.102,1194,87.106.66.233,80,tcp,http,0.877448,1128,301,SF,T,T,0,ShADadfF,5,1336,5,505,-
1258535708,CzDpgu3ETt3xTFE9q3,192.168.1.102,1195,87.106.9.29,80,tcp,http,0.876205,1126,342,SF,T,T,0,ShADadfF,5,1334,5,550,-
1258535655,CM8JFy30zpO8dpDABk,192.168.1.104,1192,65.55.184.16,80,tcp,http,59.712557,172,262,RSTR,T,T,0,ShADdr,4,340,3,390,-
1258535711,CHWxRG2ec678581qWi,192.168.1.102,1196,192.168.1.1,53,udp,dns,0.013042,36,215,SF,T,T,0,Dd,1,64,1,243,-
1258563306,ClaMuM1hE4r4qJFpul,192.168.1.103,1388,151.207.243.129,80,tcp,http,21.274408,2523,174678,S3,T,T,0,ShADadttf,117,7987,136,180126,-
1258563306,CtThDs1dt6OL8vzxMf,192.168.1.103,1389,151.207.243.129,80,tcp,http,21.254414,2595,1693,S3,T,T,0,ShADadf,16,3243,10,2101,-
1258563306,Crw74J2XjV99wLUeRk,192.168.1.103,1387,151.207.243.129,80,tcp,http,21.337611,2924,1929,S3,T,T,0,ShADadf,17,3612,11,2377,-
1258563306,C9JT0a17Uuphu6lYF6,192.168.1.103,1392,151.207.243.129,80,tcp,http,21.270651,2565,1689,S3,T,T,0,ShADadf,15,3173,10,2097,-
